"","X","Units","Month","Section","WC","WC_int","elev_mean","slope_mean","contr_max_km2","stream_sum","recur_mean","occur_mean","ext_sum","Dist_fromLast","Dist_toNext","Dam","mapbio_maj","mb_forest_","mb_savan_m","mb_grass_m","mb_past_me","mb_agri_me","mb_water_m","mb_crops_m","acm30","api30","Level","Vol_hm3","dV_hm3","PSndvi_mean","PSndwi_mean"
"3611",3611,30050,6,"BN","Dry",1,558.98,0.04,132.1532813,7,3,0.3,1,507.2725667,265.0995386,0,12,0,0,0.888888889,0.111111111,0,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.561437141,-0.613337218
"3617",3617,30100,6,"BN","Dry",1,557.58,0.01,132.1564063,13,8.909090909,1.181818182,3,510.6770475,246.9324911,0,12,0,0,0.777777778,0,0.222222222,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.591581814,-0.633242135
"3623",3623,30150,6,"BN","Dry",1,557.17,0,132.9342188,13,9.5,1.4,3,529.1842959,219.050734,0,12,0,0,0.5,0.125,0.375,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.609664715,-0.647439725
"3629",3629,30200,6,"BN","Dry",1,556.65,0,132.9351563,9,8.888888889,1.666666667,3,505.3088762,241.0961926,0,21,0,0,0.375,0.125,0.5,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.636290322,-0.662852493
"3635",3635,30250,6,"BN","Dry",1,556.36,0,133.0548438,6,9.111111111,1.666666667,3,491.7346226,265.3769489,0,12,0,0,0.5,0.1,0.4,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.613669874,-0.653748231
"3641",3641,30300,6,"BN","Dry",1,556.86,0,133.129375,5,11.44444444,2.222222222,4,524.9881896,240.9552675,0,15,0,0,0.333333333,0.444444444,0.222222222,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.591789371,-0.641616025
"3647",3647,30350,6,"BN","Dry",1,557.72,0.01,133.134375,7,19.5,4.9,6,567.7775335,191.247673,0,15,0,0,0,0.666666667,0.333333333,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.63113246,-0.656283676
"3653",3653,30400,6,"BN","Dry",1,557.83,0.02,133.135,6,23.8,7.5,6,613.8410833,141.2623713,0,15,0,0,0,1,0,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.637234679,-0.651905497
"3659",3659,30450,6,"BN","Dry",1,557.02,0.02,133.1848438,6,42.1,15.2,8,660.0103191,91.26771702,0,15,0,0,0,0.777777778,0,0,0.222222222,77.978,5.041834104,441.84,5.57,-0.01,0.578851136,-0.607967883
"3665",3665,30500,6,"BN","Dry",1,556.5,0.01,133.1910938,7,65.4,25.8,10,0,0,1,15,0,0,0,0.888888889,0,0,0.111111111,77.978,5.041834104,441.84,5.57,-0.01,0.524276509,-0.564752387
"3671",3671,30550,6,"BN","Dry",1,556.94,0.02,133.2053125,7,43.9,16,7,0,0,1,15,0,0,0,1,0,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.550175362,-0.589128094
"3677",3677,30600,6,"BN","Dry",1,557.1,0.02,133.216875,8,12.55555556,2.777777778,2,55.84966915,358.4036781,0,15,0,0,0.25,0.625,0,0,0.125,77.978,5.041834104,441.84,5.57,-0.01,0.583764875,-0.629949693
"3683",3683,30650,6,"BN","Dry",1,556.88,0.02,133.2178125,7,0,0,0,105.7777024,326.7436471,0,12,0,0,0.6,0.2,0,0,0.2,77.978,5.041834104,441.84,5.57,-0.01,0.592175381,-0.638969049
"3689",3689,30700,6,"BN","Dry",1,556.98,0.03,133.2221875,7,0,0,0,155.318962,301.8427348,0,12,0,0,0.444444444,0.222222222,0,0,0.333333333,77.978,5.041834104,441.84,5.57,-0.01,0.562193801,-0.624939436
"3695",3695,30750,6,"BN","Dry",1,555.54,0.01,133.2226563,11,0,0,0,203.8044587,296.1054039,0,15,0,0,0.125,0.625,0,0,0.25,77.978,5.041834104,441.84,5.57,-0.01,0.496785221,-0.586896105
"3701",3701,30800,6,"BN","Dry",1,554.31,0,133.463125,12,0,0,0,241.9628942,265.5522472,0,15,0,0,0,0.5,0,0,0.5,77.978,5.041834104,441.84,5.57,-0.01,0.526702631,-0.604789174
"3707",3707,30850,6,"BN","Dry",1,553.9,0,133.9192188,11,0,0,0,260.7482307,216.2458493,0,15,0,0,0,0.625,0,0,0.375,77.978,5.041834104,441.84,5.57,-0.01,0.558462772,-0.620744558
"3713",3713,30900,6,"BN","Dry",1,554.15,0,133.9217188,9,0,0,0,277.2852051,167.333669,0,15,0,0,0,0.777777778,0,0,0.222222222,77.978,5.041834104,441.84,5.57,-0.01,0.569754133,-0.62540026
"3719",3719,30950,6,"BN","Dry",1,553.98,0,133.9384375,8,0,0,0,298.1470431,119.6153241,0,15,0,0,0,0.666666667,0,0,0.333333333,77.978,5.041834104,441.84,5.57,-0.01,0.550353139,-0.606407863
"3725",3725,31000,6,"BN","Dry",1,554.94,0,133.939375,7,0,0,0,332.8991873,70.87382613,0,41,0,0,0,0.333333333,0,0,0.666666667,77.978,5.041834104,441.84,5.57,-0.01,0.537575071,-0.589866673
"3731",3731,31050,6,"BN","Dry",1,555.98,0.01,133.9459375,6,0,0,0,0,0,1,41,0,0,0,0.111111111,0,0,0.888888889,77.978,5.041834104,441.84,5.57,-0.01,0.495156421,-0.550730306
"3737",3737,31100,6,"BN","Dry",1,555.69,0,133.9475,6,0,0,0,0,0,1,41,0,0,0,0.333333333,0.222222222,0,0.444444444,77.978,5.041834104,441.84,5.57,-0.01,0.514612294,-0.573695549
"3743",3743,31150,6,"BN","Dry",1,555.46,0.01,133.9479688,6,0,0,0,76.55431389,4705.631878,0,15,0,0,0,0.333333333,0.333333333,0,0.333333333,77.978,5.041834104,441.84,5.57,-0.01,0.551020047,-0.610742664
"3749",3749,31200,6,"BN","Dry",1,555.75,0,133.9484375,6,0,0,0,126.1655531,4657.842363,0,15,0,0,0,0.777777778,0.222222222,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.539308181,-0.605888547
"3755",3755,31250,6,"BN","Dry",1,556.15,0,133.9496875,8,0,0,0,175.1532945,4608.537788,0,15,0,0,0,0.875,0,0,0.125,77.978,5.041834104,441.84,5.57,-0.01,0.511568789,-0.588093428
"3761",3761,31300,6,"BN","Dry",1,555.13,0,134.1189063,7,0,0,0,222.865549,4558.7778,0,15,0,0,0,0.777777778,0,0,0.222222222,77.978,5.041834104,441.84,5.57,-0.01,0.50669165,-0.581721746
"3767",3767,31350,6,"BN","Dry",1,555.21,0,135.4764063,12,0,0,0,257.3957155,4519.094388,0,15,0,0,0,0.875,0.125,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.538037976,-0.603388754
"3773",3773,31400,6,"BN","Dry",1,555.21,0,135.49375,10,0,0,0,303.7783267,4471.367912,0,21,0,0,0.25,0.25,0.5,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.581614446,-0.630509269
