"","Units","dates","elev_mean","Dist_fromLast","Dist_toNext","contr_max_km2","PSndvi_mean","PSndwi_mean"
"176",650,"2022-08-20",764.625,NA,3562.707152,0.40984375,NA,NA
"177",650,"2022-09-20",764.625,NA,3562.707152,0.40984375,NA,NA
"178",650,"2022-07-22",764.625,NA,3562.707152,0.40984375,NA,NA
"179",650,"2022-08-11",764.625,NA,3562.707152,0.40984375,NA,NA
"180",650,"2022-10-29",764.625,NA,3562.707152,0.40984375,NA,NA
"181",650,"2022-08-27",764.625,NA,3562.707152,0.40984375,NA,NA
"182",650,"2022-10-04",764.625,NA,3562.707152,0.40984375,0.419872246437435,-0.53392343705968
"183",700,"2022-08-27",763.625,NA,3531.638283,0.4184375,NA,NA
"184",700,"2022-07-22",763.625,NA,3531.638283,0.4184375,NA,NA
"185",700,"2022-08-11",763.625,NA,3531.638283,0.4184375,NA,NA
"186",700,"2022-12-07",763.625,NA,3531.638283,0.4184375,NA,NA
"187",700,"2022-08-20",763.625,NA,3531.638283,0.4184375,NA,NA
"188",700,"2022-09-20",763.625,NA,3531.638283,0.4184375,NA,NA
"189",700,"2022-04-27",763.625,NA,3531.638283,0.4184375,NA,NA
"190",700,"2022-06-28",763.625,NA,3531.638283,0.4184375,0.726648017,-0.684923523
"191",700,"2022-10-29",763.625,NA,3531.638283,0.4184375,NA,NA
"192",700,"2022-09-05",763.625,NA,3531.638283,0.4184375,0.49,-0.58
"193",700,"2022-07-11",763.625,NA,3531.638283,0.4184375,0.680204154726235,-0.665429104748372
"194",700,"2022-10-04",763.625,NA,3531.638283,0.4184375,0.424624913780944,-0.538374784794993
"195",700,"2022-05-23",763.625,NA,3531.638283,0.4184375,NA,NA
"196",750,"2022-08-11",762.625,NA,3501.007752,0.4209375,NA,NA
"197",750,"2022-08-27",762.625,NA,3501.007752,0.4209375,NA,NA
"198",750,"2022-06-28",762.625,NA,3501.007752,0.4209375,0.728675762,-0.682689819
"199",750,"2022-05-23",762.625,NA,3501.007752,0.4209375,NA,NA
"200",750,"2022-09-20",762.625,NA,3501.007752,0.4209375,NA,NA
