"","X","Units","Month","Section","WC","WC_int","elev_mean","slope_mean","contr_max_km2","stream_sum","recur_mean","occur_mean","ext_sum","Dist_fromLast","Dist_toNext","Dam","mapbio_maj","mb_forest_","mb_savan_m","mb_grass_m","mb_past_me","mb_agri_me","mb_water_m","mb_crops_m","acm30","api30","Level","Vol_hm3","dV_hm3","SENTndvi_mean","SENTndwi_mean","SENTswi_mean","SENTndmi_re_mean","SENTndmi_nir_mean","SENTmndwi_mean","dw_majorit","bare_freq","built_freq","crops_freq","flooded_freq","grass_freq","shrubs_freq","trees_freq","water_freq"
"38",3401,28300,6,"BN","NotDet",2,562.9,0.03,124.87625,9,0,0,0,1180.692634,543.0467785,0,15,0,0,0.375,0.5,0,0,0.125,77.978,5.041834104,441.84,5.57,-0.01,0.221309957,-0.204358625,-0.25702838,-0.040916387,-0.100792358,-0.299174724,5,0,0,0,0,0,1,0,0
"39",3407,28350,6,"BN","NotDet",2,562.5,0.04,124.88125,9,0,0,0,1228.05314,505.5035269,0,15,0,0,0.333333333,0.444444444,0,0,0.222222222,77.978,5.041834104,441.84,5.57,-0.01,0.22740781,-0.208008093,-0.252713574,-0.030415804,-0.088076626,-0.290900226,5,0,0,0,0,0,1,0,0
"40",3413,28400,6,"BN","NotDet",2,561.92,0.04,127.4484375,12,0,0,0,1276.986262,460.6377678,0,15,0,0,0.125,0.875,0,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.216149027,-0.1931633,-0.266028355,-0.054924809,-0.112015462,-0.298775487,5,0,0,0,0,0,1,0,0
"41",3419,28450,6,"BN","NotDet",2,561.57,0.04,127.4517188,9,0,0,0,1316.395918,441.0924729,0,15,0,0,0.111111111,0.666666667,0.222222222,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.203468663,-0.183569588,-0.273210857,-0.070534929,-0.129548891,-0.305910408,5,0,0,0,0,0,1,0,0
"42",3425,28500,6,"BN","NotDet",2,561.06,0.02,127.705625,12,0,0,0,1352.883321,427.3263387,0,12,0,0,0.375,0.25,0.375,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.198696173,-0.177786173,-0.270687574,-0.074698909,-0.13198572,-0.302862628,5,0,0,0,0,0,1,0,0
"43",3431,28550,6,"BN","NotDet",2,560.73,0.01,127.7121875,10,0,0,0,1402.886134,390.8313983,0,12,0,0.111111111,0.444444444,0.111111111,0.333333333,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.213953607,-0.187071778,-0.260194054,-0.050072456,-0.107664509,-0.289245028,5,0,0,0,0,0,1,0,0
"44",3437,28600,6,"BN","NotDet",2,560.75,0.01,127.73875,8,0,0,0,1452.663287,360.8983717,0,12,0,0,0.444444444,0.222222222,0.333333333,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.216323322,-0.184712067,-0.250768361,-0.03998559,-0.098123592,-0.278153016,5,0,0,0,0,0,0.896103896,0.103896104,0
"45",3443,28650,6,"BN","Dry",1,559.94,0,127.743125,8,0,0,0,1501.325354,329.162957,0,15,0,0,0.125,0.75,0.125,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.213539989,-0.186432463,-0.254181013,-0.044484462,-0.105335695,-0.28659143,5,0,0,0,0,0,0.936708861,0.063291139,0
"46",3449,28700,6,"BN","Dry",1,559.35,0,127.748125,7,0,0,0,1508.585994,290.2904234,0,15,0,0,0,1,0,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.308034943,-0.260079499,-0.196283587,0.079660898,0.02367088,-0.238128641,5,0,0,0,0,0.443037975,0.493670886,0.063291139,0
"47",3455,28750,6,"BN","Dry",1,559.48,0,127.7565625,7,0,0,0,1460.068616,320.0508859,0,15,0,0,0,0.75,0.25,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.290096057,-0.243791,-0.206164957,0.060103046,0.000264889,-0.243580176,5,0,0,0,0,0.141025641,0.743589744,0.115384615,0
"48",3461,28800,6,"BN","Dry",1,559.83,0,127.7634375,7,0,0,0,1445.968705,311.7192702,0,15,0,0,0,0.875,0.125,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.287360706,-0.255773535,-0.211514411,0.051774337,-0.007087038,-0.261998628,5,0,0,0,0,0.113924051,0.835443038,0.050632911,0
